year,Online Safety,Screen Time
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,1.0270289380847381e-10
1912,0.0,1.0270289380847381e-10
1913,0.0,1.0270289380847381e-10
1914,0.0,1.0270289380847381e-10
1915,0.0,1.0270289380847381e-10
1916,0.0,1.0270289380847381e-10
1917,0.0,1.0270289380847381e-10
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,1.1049766657222904e-10
1935,0.0,1.1049766657222904e-10
1936,0.0,1.1049766657222904e-10
1937,0.0,1.1049766657222904e-10
1938,0.0,1.1049766657222904e-10
1939,0.0,1.1049766657222904e-10
1940,0.0,1.1049766657222904e-10
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,8.40347632749935e-11
1950,0.0,8.40347632749935e-11
1951,0.0,8.40347632749935e-11
1952,0.0,8.40347632749935e-11
1953,0.0,8.40347632749935e-11
1954,0.0,8.40347632749935e-11
1955,0.0,8.40347632749935e-11
1956,0.0,0.0
1957,0.0,0.0
1958,0.0,0.0
1959,0.0,0.0
1960,0.0,5.074609304196137e-10
1961,0.0,5.074609304196137e-10
1962,0.0,5.074609304196137e-10
1963,0.0,5.074609304196137e-10
1964,0.0,5.074609304196137e-10
1965,0.0,5.762099051866341e-10
1966,0.0,6.108032135632158e-10
1967,0.0,1.3672058723252738e-10
1968,0.0,1.3672058723252738e-10
1969,0.0,2.6736225931602217e-10
1970,0.0,2.6736225931602217e-10
1971,0.0,2.6736225931602217e-10
1972,0.0,2.3180889350906042e-10
1973,0.0,3.25623234725165e-10
1974,0.0,2.9224493063623973e-10
1975,0.0,3.85796850815063e-10
1976,6.011755775731892e-11,3.4533151338500545e-10
1977,6.011755775731892e-11,3.4533151338500545e-10
1978,6.011755775731892e-11,3.747299474689468e-10
1979,6.011755775731892e-11,3.9776460101860675e-10
1980,6.011755775731892e-11,4.60418070732541e-10
1981,6.011755775731892e-11,4.860340542732291e-10
1982,6.011755775731892e-11,4.173155571107756e-10
1983,0.0,3.50607822536502e-10
1984,0.0,4.651333385912488e-10
1985,0.0,4.796591536658314e-10
1986,0.0,5.479979129204996e-10
1987,0.0,4.338094764363579e-10
1988,0.0,4.0819349289566986e-10
1989,0.0,5.623671171596709e-10
1990,0.0,5.570499458532449e-10
1991,0.0,5.272219327778771e-10
1992,8.216079404123531e-11,5.32594159251078e-10
1993,3.154616171460337e-10,5.63559008983004e-10
1994,5.426044455017884e-10,6.38114878397695e-10
1995,1.077652387961235e-09,7.971831924738889e-10
1996,1.5402506016646912e-09,6.317819749500155e-10
1997,1.97771666503905e-09,7.594525673020642e-10
1998,2.720489238645334e-09,8.304976894682855e-10
1999,3.159403437282192e-09,1.0200272521473534e-09
2000,3.4745817810234924e-09,1.0938574004915047e-09
2001,3.5248192618654782e-09,1.2013171558712875e-09
2002,3.4139653009341534e-09,1.4758693463774136e-09
2003,3.2268670275519592e-09,1.7644247333034206e-09
2004,3.1337622021153167e-09,2.5760948929587357e-09
2005,2.775303510814199e-09,2.6160029698019116e-09
2006,2.2542285181361065e-09,2.3771769314911192e-09
2007,1.7057493512900074e-09,2.147812911650655e-09
2008,1.4283690420922669e-09,1.8889246040337024e-09
2009,1.0041750605641449e-09,1.4553040994513822e-09
2010,7.286751202428832e-10,1.1531428827688777e-09
2011,3.843138823051666e-10,1.9565070198877621e-10
2012,0.0,0.0
2013,0.0,0.0
2014,0.0,0.0
2015,0.0,0.0
2016,0.0,0.0
2017,0.0,0.0
2018,0.0,0.0
2019,0.0,0.0
2020,0.0,0.0
2021,0.0,0.0
2022,0.0,0.0
2023,0.0,0.0
2024,0.0,0.0
2025,0.0,0.0
